name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,price_per_kilometer
Maruti Swift Dzire ZDI Plus,8,900000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,31690.140845070426
Toyota Innova 2.5 V Diesel 7-seater,17,570000,134000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102,7.0,44531.25
Nissan Micra Diesel XV,14,254999,110000,Diesel,Individual,Manual,Second Owner,23.08,1461.0,63.1,5.0,11048.483535528598
Maruti 800 AC BSIII,16,130000,40000,Petrol,Individual,Manual,First Owner,16.1,796.0,37,4.0,8074.534161490683
Maruti Swift Dzire VDI,12,530000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74,5.0,22649.572649572652
Volkswagen Polo 1.5 TDI Highline,10,520000,110000,Diesel,Individual,Manual,Second Owner,20.14,1498.0,88.8,5.0,25819.265143992056
Mahindra Verito 1.5 D2 BSIII,14,229999,170000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,10952.333333333334
Maruti 800 AC BSIII,21,81000,80000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37,4.0,5031.055900621118
Maruti Swift VDI Optional,9,600000,47000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74,5.0,23809.52380952381
Hyundai Xcent 1.2 Kappa S Option,10,409999,93000,Petrol,Individual,Manual,First Owner,19.1,1197.0,81.86,5.0,21465.91623036649
Maruti 800 Std,15,120000,70000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37,4.0,7453.416149068323
Maruti Celerio VXI,11,320000,50000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,13852.813852813852
Ford Figo Diesel EXI,10,292000,70000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.05,5.0,14600.0
Tata Safari DICOR 2.2 LX 4x2,13,390000,80000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,7.0,27997.12849964106
Ford Figo 1.2P Titanium Plus MT,9,550000,44000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,30286.3436123348
Maruti Celerio ZXI,11,385000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,16666.666666666664
Hyundai Creta 1.6 VTVT S,9,800000,25000,Petrol,Individual,Manual,First Owner,15.29,1591.0,121.3,5.0,52321.77894048398
Maruti Swift Dzire VXI 1.2,6,675000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,31824.611032531822
Tata Hexa XT,7,1525000,50000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7.0,86647.72727272726
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,7,950000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,41304.34782608696
Hyundai i20 Active 1.4 SX with AVN,10,610000,50000,Diesel,Individual,Manual,Second Owner,21.19,1396.0,88.73,5.0,28787.16375648891
Hyundai i20 Asta 1.4 CRDi,13,525000,120000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,23291.92546583851
Honda Amaze S CVT Diesel BSIV,6,700000,40000,Diesel,Individual,Automatic,First Owner,23.8,1498.0,78.9,5.0,29411.764705882353
Mahindra Bolero 2011-2019 SLE,10,375000,80000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,23496.24060150376
Nissan Terrano XL Plus 85 PS,10,580000,90000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,28361.85819070905
Maruti Swift VXI Windsong Limited edition,10,434999,50000,Petrol,Individual,Manual,Second Owner,20.4,1197.0,83.11,5.0,21323.480392156864
Datsun RediGO 1.0 S,5,350000,2136,Petrol,Individual,Manual,First Owner,22.5,999.0,67,5.0,15555.555555555555
Toyota Innova 2.5 G (Diesel) 7 Seater,13,730000,250000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100,7.0,56197.07467282525
Hyundai i20 Magna 1.2,10,600000,35000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,32258.06451612903
Toyota Innova 2.5 VX (Diesel) 7 Seater,10,1050000,120000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,80831.40877598153
Maruti Baleno Alpha 1.3,8,735000,70000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74,5.0,26834.61117196057
Renault Duster 110PS Diesel RxZ,7,1050000,18000,Diesel,Dealer,Manual,First Owner,19.6,1461.0,108.45,5.0,53571.428571428565
Chevrolet Enjoy 1.3 TCDi LS 7,9,420000,110000,Diesel,Individual,Manual,Second Owner,18.2,1248.0,73.74,7.0,23076.923076923078
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,8,800000,60000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,5.0,33826.63847780127
Toyota Fortuner 4x2 AT,10,2000000,60000,Diesel,Individual,Automatic,First Owner,12.55,2982.0,168.5,7.0,159362.5498007968
Maruti Swift Dzire VDI,9,600000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74,5.0,22564.87401278676
Toyota Fortuner 4x2 AT,10,1900000,130000,Diesel,Individual,Automatic,First Owner,12.55,2982.0,168.5,7.0,151394.42231075696
Chevrolet Captiva LT,14,500000,99500,Diesel,Individual,Manual,Third Owner,11.5,1991.0,147.9,7.0,43478.260869565216
Tata Indica Vista Aqua 1.4 TDI,14,200000,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71,5.0,11764.70588235294
Nissan Micra Active XL Petrol,9,370000,35000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0,18984.094407388406
Hyundai Verna Transform CRDi VGT SX ABS,15,260000,110000,Diesel,Individual,Manual,Second Owner,16.2,1493.0,110,5.0,16049.382716049384
Mahindra KUV 100 mFALCON D75 K8,9,280000,100000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77,6.0,11058.451816745655
Maruti Ertiga VXI,11,610000,21000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,7.0,38077.40324594257
Ford Fiesta Titanium 1.5 TDCi,12,300000,60000,Diesel,Individual,Manual,Second Owner,23.5,1498.0,90,5.0,12765.95744680851
Tata Indigo CS LX DiCOR,15,140000,40000,Diesel,Individual,Manual,First Owner,16.6,1405.0,70,5.0,8433.734939759035
Hyundai i10 Magna 1.1L,17,229999,50000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,11610.247349823323
Maruti A-Star Vxi,15,200000,65000,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,5.0,10526.315789473685
Maruti Wagon R VXI BSIII,14,200000,80000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,10582.010582010584
Hyundai Verna 1.6 CRDi S,10,560000,119000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,5.0,23430.962343096235
Maruti Ertiga SHVS VDI,9,750000,80000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,30587.27569331158
Maruti Swift VDI BSIV,8,585000,90000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74,5.0,23214.285714285714
Hyundai Verna 1.6 VTVT S Option,9,760000,20000,Petrol,Individual,Manual,First Owner,17.01,1591.0,121.4,5.0,44679.60023515578
Maruti Swift VDI BSIV,11,430000,80000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74,5.0,17063.492063492064
Mahindra KUV 100 D75 K6 Plus,5,480000,44665,Diesel,Individual,Manual,First Owner,25.32,1198.0,77,6.0,18957.34597156398
Kia Seltos HTE D,6,643000,10000,Diesel,Individual,Manual,First Owner,20.8,1493.0,113.4,5.0,30913.46153846154
Hyundai Xcent 1.2 VTVT S,7,500000,60000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,24826.216484607747
Honda Brio 1.2 S MT,9,425000,22000,Petrol,Individual,Manual,First Owner,18.5,1198.0,86.8,5.0,22972.972972972973
Maruti Alto 800 LXI,11,250000,25000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,10993.843447669306
Maruti Celerio LDi,9,285000,70000,Diesel,Individual,Manual,First Owner,27.62,793.0,47,5.0,10318.609703113685
Maruti Swift Dzire VXi,17,160000,123000,Petrol,Individual,Manual,Third Owner,17.5,1298.0,85.8,5.0,9142.857142857143
Volkswagen Vento Diesel Trendline,14,250000,70000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,12171.372930866602
Chevrolet Beat LS,12,170000,70000,Petrol,Individual,Manual,Second Owner,18.6,1199.0,79.4,5.0,9139.78494623656
Toyota Etios Liva GD,12,409999,45000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,5.0,17380.203476049173
Hyundai Grand i10 AT Asta,10,400000,40000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,82,5.0,21164.021164021167
Maruti Swift Dzire VDI,6,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,24647.88732394366
Honda Civic 1.8 V AT,18,350000,90000,Petrol,Individual,Automatic,First Owner,12.9,1799.0,130,5.0,27131.782945736435
Maruti Ertiga BSIV VXI,9,660000,34000,Petrol,Individual,Manual,Second Owner,17.5,1373.0,91.1,7.0,37714.28571428572
Maruti Alto 800 VXI,8,268000,25000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,10850.202429149798
Maruti Alto 800 VXI,9,270000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,11873.35092348285
Chevrolet Beat Diesel LT,12,300000,50000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,5.0,11792.452830188678
Tata Tiago 1.2 Revotron XZ,8,450000,90000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84,5.0,18875.838926174496
Chevrolet Beat Diesel LT,13,220000,70000,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,5.0,8647.798742138364
Tata New Safari DICOR 2.2 VX 4x2,16,250000,146000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138,7.0,17946.877243359657
Ford Figo Petrol EXI,13,300000,85000,Petrol,Individual,Manual,Second Owner,15.6,1196.0,70,5.0,19230.76923076923
Tata Indica V2 2001-2011 DLS BSIII,16,88000,201850,Diesel,Individual,Manual,Second Owner,17.88,1396.0,52.8,5.0,4921.700223713647
Maruti Swift Dzire VDI,9,561000,30000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74,5.0,21098.157201955622
Maruti Swift Dzire VDI,7,755000,15000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,26584.50704225352
Datsun RediGO S,8,235000,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,10352.422907488986
Maruti Alto K10 LXI,14,165000,90000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,7887.18929254302
Maruti Swift Dzire LDi,17,190000,80000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,9844.559585492229
Tata Indica V2 DLX BSII,14,110000,50000,Diesel,Individual,Manual,First Owner,17.2,1396.0,53.5,5.0,6395.3488372093025
Mahindra Bolero 2011-2019 DI 4WD NON AC,13,320000,80000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63,8.0,23529.411764705885
Maruti Swift VDI BSIV,15,330000,110000,Diesel,Individual,Manual,Second Owner,19.41878335651954,,,,16993.855585149617
Hyundai i20 Asta Option 1.2,9,540000,38000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,29032.258064516125
Hyundai EON Era Plus,12,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,8530.80568720379
Maruti Eeco 7 Seater Standard BSIV,9,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73,7.0,17566.68835393624
Maruti Swift Dzire 1.2 Vxi BSIV,13,450000,30000,Petrol,Individual,Manual,First Owner,17.5,1197.0,85.8,5.0,25714.285714285714
Maruti Swift Dzire VXI,11,450000,30000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,23560.20942408377
Chevrolet Beat LT,10,200000,50000,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,10752.68817204301
Tata Tiago 1.2 Revotron XZ,8,425000,42000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84,5.0,17827.18120805369
Chevrolet Sail 1.2 LS ABS,9,400000,30000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,21978.021978021978
Maruti Alto LXi BSIII,16,125000,60000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0,6345.17766497462
Jeep Compass 2.0 Longitude Option BSIV,7,1600000,14000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170,5.0,93567.2514619883
Honda City i VTEC VX,10,900000,22000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,51724.137931034486
Volkswagen Vento Diesel Highline,13,450000,90000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,21908.471275559885
Maruti Alto K10 2010-2014 VXI,14,210000,46000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,10038.240917782026
Hyundai i20 1.2 Asta Option,7,801000,20000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,43064.51612903226
Tata Venture EX 7 Str Captain Seats,11,317000,15000,Diesel,Individual,Manual,First Owner,15.42,1405.0,70,7.0,20557.717250324255
Maruti Ertiga VXI,10,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,37453.183520599254
Hyundai i20 Magna,11,330000,30000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,17837.837837837837
Hyundai EON Magna Plus,8,320000,15000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,15165.876777251184
Maruti Estilo LXI,15,160000,50000,Petrol,Individual,Manual,First Owner,19.41878335651954,,,,8239.445132193754
Hyundai Getz GLX,18,120000,110000,Petrol,Individual,Manual,Second Owner,15.3,1341.0,83,5.0,7843.137254901961
Maruti Alto LXi,16,130000,70000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,6598.984771573604
Chevrolet Sail 1.2 LS,10,220000,80000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,12087.91208791209
Maruti Swift VDI BSIV,17,229999,50000,Diesel,Individual,Manual,Third Owner,19.41878335651954,,,,11844.150880996443
Tata Zest Revotron 1.2T XM,10,340000,110000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,19351.16676152533
Ford Classic 1.4 Duratorq CLXI,12,200000,70000,Diesel,Individual,Manual,Second Owner,19.68,1399.0,67,5.0,10162.60162601626
Maruti Alto LXI,23,140000,50000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,7106.598984771574
Toyota Innova 2.5 G (Diesel) 8 Seater,12,1000000,190000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,76982.29407236335
Mahindra Bolero SLX,15,495000,100000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63,7.0,36397.05882352941
Maruti Alto 800 LXI,10,236000,60000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,10378.188214599824
Maruti Wagon R VXI BS IV,10,390000,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,19015.11457825451
Maruti Swift Dzire VDi,16,275000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,14248.704663212435
Tata Safari Storme EX,10,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7.0,35673.75886524823
Maruti Vitara Brezza ZDi Plus Dual Tone,8,775000,32000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,31893.004115226337
Toyota Innova Crysta 2.8 ZX AT BSIV,9,1800000,30000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,158450.70422535212
Hyundai Creta 1.6 CRDi SX,9,850000,58000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,43213.01474326385
Maruti Vitara Brezza VDi,7,750000,5000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,30864.197530864196
Hyundai i20 1.2 Spotz,7,570000,25000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,30645.16129032258
Hyundai Grand i10 1.2 Kappa Sportz BSIV,7,580000,32000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,30687.83068783069
Honda Jazz 1.2 VX i VTEC,9,484999,30000,Petrol,Individual,Manual,First Owner,18.7,1199.0,88.7,5.0,25935.77540106952
Honda BR-V i-VTEC S MT,8,700000,43000,Petrol,Dealer,Manual,First Owner,15.4,1497.0,117.3,7.0,45454.545454545456
Hyundai Verna S,13,415000,60000,Petrol,Dealer,Manual,First Owner,17.7,1497.0,113.42,5.0,23446.32768361582
Nissan Micra XV CVT,10,325000,50000,Petrol,Individual,Automatic,First Owner,19.34,1198.0,76,5.0,16804.550155118926
Ford Figo Aspire 1.2 Ti-VCT Trend,7,550000,14200,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,30286.3436123348
Hyundai EON Sportz,8,300000,10000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,14218.009478672984
Datsun RediGO T Option,7,217000,25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,9559.471365638767
Ford Freestyle Titanium Petrol BSIV,7,700000,19100,Petrol,Individual,Manual,First Owner,19.0,1194.0,94.68,5.0,36842.10526315789
Hyundai Santro Sportz AMT BSIV,6,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086.0,68,5.0,22955.66502463054
Ford EcoSport 1.5 Diesel Trend BSIV,11,484999,54000,Diesel,Dealer,Manual,First Owner,23.0,1498.0,98.96,5.0,21086.91304347826
Nissan Sunny XL D,7,670000,35000,Diesel,Individual,Manual,First Owner,22.71,1461.0,84.8,5.0,29502.421840598854
Hyundai Grand i10 1.2 Kappa Sportz BSIV,7,500000,20000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,81.86,5.0,26455.02645502646
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,9,675000,52000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,5.0,28541.226215644823
Hyundai i20 1.4 CRDi Asta,14,220000,120000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90,5.0,9565.217391304348
Jeep Compass 2.0 Limited,8,1650000,50000,Diesel,Individual,Manual,First Owner,17.1,1956.0,170,5.0,96491.22807017544
Maruti Ertiga ZDI,12,630000,120000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.8,7.0,30332.20991815118
Tata Manza Aura Quadrajet,15,250000,90000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90,5.0,13297.87234042553
Maruti Wagon R LXI,21,120000,120000,Petrol,Individual,Manual,Third Owner,18.9,998.0,67.1,5.0,6349.20634920635
Skoda Rapid 1.5 TDI Elegance,10,300000,101500,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,14191.106906338695
Hyundai Verna 1.6 CRDi EX AT,12,525000,75000,Diesel,Individual,Automatic,First Owner,22.32,1582.0,126.3,5.0,23521.505376344085
Maruti Alto K10 LXI,14,204999,97500,Petrol,Individual,Manual,First Owner,19.41878335651954,,0,,10556.73757909117
Maruti Alto K10 LXI,14,204999,97500,Petrol,Individual,Manual,First Owner,19.41878335651954,,0,,10556.73757909117
Mahindra Scorpio 1.99 S10,9,1100000,100000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120,7.0,71428.57142857142
Renault Duster 110PS Diesel RxZ,13,480000,55735,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,25249.868490268276
Mahindra XUV500 W4,11,605000,80000,Diesel,Individual,Manual,Second Owner,15.1,2179.0,140,7.0,40066.225165562915
Maruti Alto 800 LXI Optional,9,250000,50000,Petrol,Individual,Manual,Second Owner,24.7,796.0,47.3,5.0,10121.457489878543
Ford Figo Diesel Celebration Edition,12,245000,70000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.1,5.0,12250.0
Hyundai i10 Magna 1.2 iTech SE,13,210000,76000,Petrol,Individual,Manual,Fourth & Above Owner,20.36,1197.0,78.9,5.0,10314.34184675835
Maruti Swift Dzire VXI 1.2,5,730000,1500,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,34417.72748703442
Mahindra Bolero 2011-2019 SLX,13,500000,76000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,31328.32080200501
Maruti Wagon R VXI Optional,10,400000,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,19502.681618722574
Hyundai EON Magna Plus,10,280000,60000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,13270.142180094786
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,16,561000,170000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102,8.0,43828.125
Mitsubishi Pajero Sport 4X4,12,950000,181491,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,70370.37037037036
Chevrolet Beat Diesel LS,9,375000,53319,Diesel,Dealer,Manual,First Owner,25.44,936.0,56.3,5.0,14740.566037735849
Volkswagen Ameo 1.5 TDI Comfortline,8,700000,40906,Diesel,Dealer,Manual,First Owner,21.66,1498.0,108.62,5.0,32317.63619575254
Toyota Etios VX,13,375000,31711,Petrol,Dealer,Manual,Second Owner,17.6,1496.0,88.7,5.0,21306.81818181818
Hyundai EON Era Plus,13,270000,43755,Petrol,Dealer,Manual,Second Owner,21.1,814.0,55.2,5.0,12796.208530805687
Renault KWID RXT,9,300000,66693,Petrol,Dealer,Manual,First Owner,25.17,799.0,53.3,5.0,11918.951132300357
Maruti Zen Estilo VXI BSIV,15,225000,59549,Petrol,Dealer,Manual,First Owner,19.0,998.0,67.1,5.0,11842.105263157895
Toyota Innova 2.5 G (Diesel) 8 Seater,10,1350000,94385,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,8.0,103926.09699769053
Maruti Zen Estilo LXI BSIII,15,200000,73730,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,10989.010989010989
Hyundai Verna 1.6 SX,14,400000,221889,Diesel,Dealer,Manual,First Owner,22.32,1582.0,126.32,5.0,17921.14695340502
Honda Amaze VX i-DTEC,12,500000,116104,Diesel,Dealer,Manual,First Owner,25.8,1498.0,98.6,5.0,19379.84496124031
Maruti Swift VXI BSIV,10,500000,150546,Petrol,Dealer,Manual,First Owner,22.0,1197.0,81.8,5.0,22727.272727272728
Toyota Fortuner 2.8 2WD MT,12,1500000,148120,Diesel,Dealer,Manual,First Owner,14.24,2755.0,174.5,7.0,105337.0786516854
Ford Ecosport 1.5 Ti VCT MT Titanium,10,555000,20000,Petrol,Individual,Manual,Second Owner,15.8,1499.0,110,5.0,35126.58227848101
Hyundai Grand i10 1.2 Kappa Magna AT,7,580000,30000,Petrol,Individual,Automatic,First Owner,18.9,1197.0,81.86,5.0,30687.83068783069
Tata Aria Pride,14,337000,142000,Diesel,Individual,Manual,Third Owner,13.7,2179.0,138.1,7.0,24598.540145985404
Tata Sumo CX 10 Str BSIV,14,175000,20000,Diesel,Individual,Manual,First Owner,12.2,1948.0,68,10.0,14344.262295081968
Tata Manza Aura Plus Quadrajet,16,180000,120000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90,5.0,9574.468085106382
Hyundai i10 Sportz 1.1L,14,200000,80000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,10095.911155981828
Tata Indigo CS LX (TDI) BS-III,9,260000,60000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,13619.696176008381
Renault KWID 1.0 RXT Optional,9,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67,5.0,15210.777922642328
Mahindra Bolero SLX,14,409999,50000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63,7.0,30146.985294117647
Mahindra TUV 300 T8,8,655000,126000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100,7.0,35424.553812871825
Maruti Swift Dzire LDI,10,370000,170000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74,5.0,13915.005641218504
Maruti Alto 800 LXI,12,200000,24000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,8795.074758135444
Maruti Ertiga SHVS ZDI,8,800000,100000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,32626.42740619902
Tata Tiago NRG Petrol,6,550000,10000,Petrol,Individual,Manual,First Owner,24.0,1199.0,83.81,5.0,22916.666666666668
Ford Figo Diesel ZXI,13,300000,70000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68,5.0,15000.0
Maruti Omni E MPI STD BS IV,8,220000,40000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,13095.238095238095
Maruti Wagon R LXI BS IV,14,196000,110000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,10370.37037037037
Hyundai i10 Era,17,135000,80000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,5.0,6814.740030287734
Tata Bolt Revotron XE,10,299000,16500,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,17017.6437108708
Maruti Alto K10 VXI,8,300000,30000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,12526.096033402922
Maruti Ertiga SHVS VDI,8,720000,80000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,29363.784665579118
Tata Safari Storme EX,9,650000,50000,Diesel,Individual,Manual,Third Owner,14.1,2179.0,147.94,7.0,46099.29078014185
Maruti Alto K10 VXI,9,300000,25000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,12526.096033402922
Hyundai Grand i10 1.2 CRDi Asta,6,750000,20000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,31250.0
Renault KWID RXT,9,260000,60000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,10329.757647993643
Maruti Swift VDI,14,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74,5.0,13100.436681222709
Mahindra Bolero 2011-2019 SLX,11,600000,50000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,37593.984962406015
Honda Accord V6 AT,21,275000,100000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218,5.0,30555.555555555555
Maruti Alto K10 VXI,10,250000,52000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,10438.413361169103
Maruti Swift Dzire VDI,11,420000,80000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74,5.0,17948.71794871795
Hyundai EON Era Plus,10,235000,50000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,11137.440758293838
Mahindra Scorpio S10 7 Seater,9,1100000,60000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120,7.0,71428.57142857142
Maruti Alto K10 VXI,6,360000,25000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,15031.315240083508
Hyundai Grand i10 CRDi Asta,11,380000,50000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70,5.0,15833.333333333334
Ford EcoSport 1.5 TDCi Titanium BSIV,9,650000,125000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,28546.332894158983
Maruti Wagon R VXI Optional,9,350000,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,17064.84641638225
Mahindra Bolero 2011-2019 DI - AC BS III,8,700000,70000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63,9.0,43859.649122807015
